PLANT;Coil number example;Production Order NR;Article Group;Weight (t);HRC Width (mm);HRC Thickness (mm);Passivation;Final Width (mm);Final Thickness (mm);Annealing Code;Reduction Rate;Tin Layer Up;Tin Layer Down;Product Code;Surface Code;Melting Type;Melting Code;Sorting Code;Article NR
VA09;0;1039620;300;17371;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;1;1039620;495;18428;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;2;1039620;380;13808;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;3;1039620;400;9806,6125;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;4;1039620;432;13080,8475;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;5;1039620;321;13983,048;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;6;1039620;400;16655;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;7;1039620;400;15740;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;8;1039620;390;13517;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;9;1039620;400;18428;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;10;1039620;350;18726,175;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;11;1039620;400;17229;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;12;1039620;400;18727;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;13;1039620;400;12885;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;14;1084997;421;8072;1013;2,25;2;999;0,22;98;1;0;0;3;98;0;2;9;5050442
VA09;15;1084997;400;13816;1013;2,25;2;999;0,22;98;1;0;0;3;98;0;2;9;5050442
VA09;16;1084997;420;6895;1013;2,25;2;999;0,22;98;1;0;0;3;98;0;2;9;5050442
VA09;17;1084997;414;8102;1013;2,25;2;999;0,22;98;1;0;0;3;98;0;2;9;5050442
VA09;18;1039620;380;10425;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;19;1039620;395;18506;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;20;1039620;375;11664;1241;3;0;1194;0,205;98;1,2;1;2,2;3;24;0;2;9;5031175
VA09;21;1128234;400;11672;975;2,28;8;184,8;0,365;2;0,6;11,2;11,2;3;41;1;1;5;5019719
VA09;22;1139439;300;16345;867;2,25;1;852;0,3;2;0,8;1,9;1,9;3;41;1;1;5;5062081
VA09;23;1128506;340;17965;900;2,5;0;877,89;0,154;18;41;;;4;53;0;0;8;5031018
VA09;24;1135452;340;16825;992;2;0;966;0,2;30;7,5;;;4;51;0;0;1;5013563
VA09;25;1133712;340;10065;1012;2,25;0;999;0,225;30;11;;;4;51;0;0;5;5029301
